Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
357045034501999_625705384302628,https://www.facebook.com/weareotv/posts/625708807635619:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:45:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705290969304,https://www.facebook.com/weareotv/posts/625708790968954:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:45:12 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705194302647,https://www.facebook.com/weareotv/posts/625708767635623:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:45:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705057635994,https://www.facebook.com/weareotv/posts/625708764302290:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:43 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705024302664,https://www.facebook.com/weareotv/posts/625708867635613:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:39 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625704964302670,https://www.facebook.com/weareotv/posts/625708750968958:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:29 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625704904302676,https://www.facebook.com/weareotv/posts/625708740968959:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_625704900969343,https://www.facebook.com/weareotv/posts/625708834302283:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:23 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625704777636022,https://www.facebook.com/weareotv/posts/625708817635618:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625704754302691,https://www.facebook.com/weareotv/posts/625708760968957:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:44:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625704704302696,https://www.facebook.com/weareotv/posts/625708774302289:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:43:56 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
