Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
357045034501999_405167203023115,https://www.facebook.com/weareotv/posts/405167203023115:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:19:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_405167199689782,https://www.facebook.com/weareotv/posts/405167199689782:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:19:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_405167193023116,https://www.facebook.com/weareotv/posts/405167193023116:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:19:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_405167206356448,https://www.facebook.com/weareotv/posts/405167206356448:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:19:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_405167196356449,https://www.facebook.com/weareotv/posts/405167196356449:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:19:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_405085806364588,https://www.facebook.com/weareotv/posts/405085806364588,6 hours till the series of shady events begin. Grab a cup of T w/ Saya Naomi and feel the silky vibes from Latham Owen Zeafross of Chance's Dances. See you at 6pm Canvas!,Link,,,07/19/2015 09:52:15 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_403729229833579,https://www.facebook.com/weareotv/posts/403729229833579,"&quot;When I write a character, I create human beings who smile just as much as they cry, who yearn for personal prosperity just as much as they yearn for racial justice, who enjoy sex just as much as any other person--sometimes more, but still. We are not monolithic--not in reality and so, in turn, we shouldn't be in fiction.&quot;

http://www.huffingtonpost.com/riley-s-wilson/lgbtq-people-of-color-are_b_7784742.html?utm_hp_ref=gay-voices&amp;ir=Gay+Voices",Link,,,07/16/2015 01:15:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_404140419792460,https://www.facebook.com/weareotv/videos/404140419792460/,"Did you miss the premiere of #NUPITAOBAMA? 
Here's a recap from the series of shady events that occurred on Sunday at Wang's. 
We're still carrying this Sunday, July 19 from 6-9pm at Canvas. Come sip the ginger tea with Saya Naomi. Don't spill it.",Video,,,07/16/2015 11:33:50 AM, ,213,180,0,316,223,0,18,14,16,0,0,108,51,0,0,13,8,8,0,0,31,36,0,0,0,77285,1,6.0,6,1.0,,8,5.0,8,7.0,None
357045034501999_403728693166966,https://www.facebook.com/weareotv/posts/403728693166966,We're just gonna set this down right here: https://vimeo.com/132485814,Link,,,07/15/2015 12:13:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_401645436708625,https://www.facebook.com/weareotv/posts/401645436708625,"Support Rashayla Marie Brown's 3Arts project and feel good about providing this inventive and clever artist with the opportunity to make history.
LINK TO DONATE: http://3arts.org/projects/reality-not-good-enough/",Link,,,07/10/2015 01:21:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_401643813375454,https://www.facebook.com/weareotv/posts/401643813375454,"We're just gonna drop this off right here: 
http://www.thedailybeast.com/articles/2015/07/06/the-power-of-black-twitter.html?source=TDB&amp;via=FB_Page",Link,,,07/09/2015 01:18:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_401640876709081,https://www.facebook.com/weareotv/posts/401640876709081,"&quot;Obviously some of those missing men are also a part of [the gay] community,” laments Mister Wallace, a member of the #Chicago-based artist collective Banjee Report “If they were here it would mean more black gay men making art and holding positions of leadership, more magazine covers featuring black artists, more black writers writing articles, more opportunities for a black perspective to influence the gay community.” via The Advocate magazine

#blacklivesmatter #media #
http://www.advocate.com/health/hiv-aids/2015/07/06/where-are-15-million-missing-black-men",Link,,,07/08/2015 09:12:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_401635390042963,https://www.facebook.com/weareotv/posts/401635390042963,"ATTENTION!..July 12, July 19 &amp; July 26 = 3 chances to celebrate the premiere of our newest series: &quot;Nupita Obama Creates Vogua&quot;. 

Screening, kiki and more at all locations! Bring your parka because it's gonna get chilly, huntee. Ask Mister Wallace, Saya Naomi and IamKiam Studios for shady GIFS. 
 #NupitaObama #queer #alltnoshade #weareopentv
https://www.facebook.com/events/1674116916144759/",Link,,,07/07/2015 12:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_399771770229325,https://www.facebook.com/weareotv/posts/399771770229325,"Women Made Gallery appoints new Executive Director! 
http://myemail.constantcontact.com/Introducing-Sydney-Stoudmire-as-Woman-Made-Gallery-s--WMG--Executive-Director.html?soid=1098465457029&amp;aid=YZ8KwdKxJ2U",Link,,,07/03/2015 12:31:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_399771316896037,https://www.facebook.com/weareotv/posts/399771316896037,"A huge congrats to Jill Soloway: &quot;I am blown away by the creative freedom Amazon gives me, and I can't wait to reveal where this journey is going to take us.&quot;

http://www.hollywoodreporter.com/live-feed/amazons-transparent-scores-third-season-805026?facebook_20150625",Link,,,07/02/2015 12:29:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_399773986895770,https://www.facebook.com/weareotv/posts/399773986895770,"SEASON TWO of You're So Talented HAS FUNDING! A huge congrats to the entire crew behind YST for receiving the highest granted sum from the Chicago Digital Media Production Fund, $19,000, and to all the other grantees!

A special thanks to Chicago Filmmakers and the Voqal Fund for supporting independent artists in #Chicago! #OpenTV proudly presented season one and we can't wait to show you what we have in store for season two of YST! 


&quot;The Production Fund allows us to support artists who are creating work with the intention of sparking meaningful conversations around social change...The projects of the eight media artists receiving grants exhibit a range of compelling ideas. They include a narrative web series that tells unapologetically authentic stories through characters who are as diverse as they are genuine.&quot;

http://myemail.constantcontact.com/Press-Release--2015-Chicago-Digital-Media-Production-Fund-Awards.html?soid=1101844755176&amp;aid=dYKsE3nXELA",Link,,,07/01/2015 12:48:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,,,,,,,YST
